TICKER,DESCRIPTION,TYPE
STM,STMicroelectronics N.V.,PORTFOLIO
SPM.MI,Saipem S.p.A.,PORTFOLIO
AMP.MI,Amplifon S.p.A.,PORTFOLIO
ZV.MI,Zignago Vetro S.p.A.,PORTFOLIO
NEXI.MI,Nexi S.p.A.,PORTFOLIO
TIT.MI,Telecom Italia S.p.A.,PORTFOLIO
BSS.MI,Biesse S.p.A.,PORTFOLIO
TSL.MI,Tessellis S.p.A.,PORTFOLIO
PRY.MI,Prysmian S.p.A.,WATCHLIST
REC.MI,Recordati S.p.A.,WATCHLIST
WBD.MI,Webuild S.p.A.,WATCHLIST
CPR.MI,Campari S.p.A.,WATCHLIST
FCT.MI,Fincantieri S.p.A.,WATCHLIST
PIRC.MI,Pirelli S.p.A.,WATCHLIST
RACE.MI,Ferrari N.V.,WATCHLIST
