codice,tipo,descrizione
STM,PORTFOLIO,STMicroelectronics N.V.
SPM.MI,PORTFOLIO,Saipem S.p.A.
AMP.MI,PORTFOLIO,Amplifon S.p.A.
ZV.MI,PORTFOLIO,Zignago Vetro S.p.A.
NEXI.MI,PORTFOLIO,Nexi S.p.A.
TIT.MI,PORTFOLIO,Telecom Italia S.p.A.
BSS.MI,PORTFOLIO,Biesse S.p.A.
TSL.MI,PORTFOLIO,Tessellis S.p.A.
PRY.MI,WATCHLIST,Prysmian S.p.A.
REC.MI,WATCHLIST,Recordati S.p.A.
WBD.MI,WATCHLIST,Webuild S.p.A.
CPR.MI,WATCHLIST,Campari S.p.A.
FCT.MI,WATCHLIST,Fincantieri S.p.A.
PIRC.MI,WATCHLIST,Pirelli S.p.A.
RACE.MI,WATCHLIST,Ferrari N.V.
